SiteId,SiteName,SiteUrl,PageUrl,PageTitle,Depth,InternalLinksDiscovered,EmbedCount,CrawlStatus
1IwO2lYTbQ139ubxKlENHnlwriaV_VTd-,Paco Test Site,https://sites.google.com/d/1IwO2lYTbQ139ubxKlENHnlwriaV_VTd-/edit,https://sites.google.com/d/1IwO2lYTbQ139ubxKlENHnlwriaV_VTd-/edit,Google Drive: Sign-in,0,0,1,Success
1o-cyf6cm37PVbM-yvF-q3jXa_W4zQyOK,DME site,https://sites.google.com/d/1o-cyf6cm37PVbM-yvF-q3jXa_W4zQyOK/edit,https://sites.google.com/d/1o-cyf6cm37PVbM-yvF-q3jXa_W4zQyOK/edit,Google Drive: Sign-in,0,0,1,Success
1etBOHM8uZTIBczgRuo9iRJbokN03ukg6,Untitled site,https://sites.google.com/d/1etBOHM8uZTIBczgRuo9iRJbokN03ukg6/edit,https://sites.google.com/d/1etBOHM8uZTIBczgRuo9iRJbokN03ukg6/edit,Google Drive: Sign-in,0,0,1,Success
1gqumSZ_5gRjfVP0e90p1yzq2WbdJpkKA,Test,https://sites.google.com/d/1gqumSZ_5gRjfVP0e90p1yzq2WbdJpkKA/edit,https://sites.google.com/d/1gqumSZ_5gRjfVP0e90p1yzq2WbdJpkKA/edit,Google Drive: Sign-in,0,0,1,Success
1BJtPGiy8Eauuyl4WD02jOS1RC6KvZ1db,Project,https://sites.google.com/d/1BJtPGiy8Eauuyl4WD02jOS1RC6KvZ1db/edit,https://sites.google.com/d/1BJtPGiy8Eauuyl4WD02jOS1RC6KvZ1db/edit,Google Drive: Sign-in,0,0,1,Success
1D4G-ZHHBJSig-Qd10BBIMC6HP8x3W4RN,Help centre,https://sites.google.com/d/1D4G-ZHHBJSig-Qd10BBIMC6HP8x3W4RN/edit,https://sites.google.com/d/1D4G-ZHHBJSig-Qd10BBIMC6HP8x3W4RN/edit,Google Drive: Sign-in,0,0,1,Success
1mAaR_DoyZyr5NXDtgiiIPHXEnRVIaVyg,targ IFNa iMab,https://sites.google.com/d/1mAaR_DoyZyr5NXDtgiiIPHXEnRVIaVyg/edit,https://sites.google.com/d/1mAaR_DoyZyr5NXDtgiiIPHXEnRVIaVyg/edit,Google Drive: Sign-in,0,0,1,Success
1WSEYFAet8mLQCt4YFaA7e1IjhY8iXN7u,emea-crm-frontend — Converted from Classic Sites,https://sites.google.com/d/1WSEYFAet8mLQCt4YFaA7e1IjhY8iXN7u/edit,https://sites.google.com/d/1WSEYFAet8mLQCt4YFaA7e1IjhY8iXN7u/edit,Google Drive: Sign-in,0,0,1,Success
1U8mMU3Ux3-hGhWdcYEjnXVlKAA83J0Lo,Simplifi Learning Journey,https://sites.google.com/d/1U8mMU3Ux3-hGhWdcYEjnXVlKAA83J0Lo/edit,https://sites.google.com/d/1U8mMU3Ux3-hGhWdcYEjnXVlKAA83J0Lo/edit,Google Drive: Sign-in,0,0,1,Success
1UwIw3473VGhywZ-Ihpgkcgs-iNsJ6B1h,Roche Template,https://sites.google.com/d/1UwIw3473VGhywZ-Ihpgkcgs-iNsJ6B1h/edit,https://sites.google.com/d/1UwIw3473VGhywZ-Ihpgkcgs-iNsJ6B1h/edit,Google Drive: Sign-in,0,0,1,Success
1F5Al_DxZjA8TLuPnO1UXk3f0pvziT1Up,Untitled site,https://sites.google.com/d/1F5Al_DxZjA8TLuPnO1UXk3f0pvziT1Up/edit,https://sites.google.com/d/1F5Al_DxZjA8TLuPnO1UXk3f0pvziT1Up/edit,Google Drive: Sign-in,0,0,1,Success
1s52lpzSk-9_WuvKS2Ln6SEXnq2IZ6w7s,Project,https://sites.google.com/d/1s52lpzSk-9_WuvKS2Ln6SEXnq2IZ6w7s/edit,https://sites.google.com/d/1s52lpzSk-9_WuvKS2Ln6SEXnq2IZ6w7s/edit,Google Drive: Sign-in,0,0,1,Success
1KPHMkA4c3WCBRcUvWu7nIGIKFgulvE41,Izzati Test,https://sites.google.com/d/1KPHMkA4c3WCBRcUvWu7nIGIKFgulvE41/edit,https://sites.google.com/d/1KPHMkA4c3WCBRcUvWu7nIGIKFgulvE41/edit,Google Drive: Sign-in,0,0,1,Success
1-WtDvj7KNeMxof8GosyG474Fh-UAfqCM,Untitled site,https://sites.google.com/d/1-WtDvj7KNeMxof8GosyG474Fh-UAfqCM/edit,https://sites.google.com/d/1-WtDvj7KNeMxof8GosyG474Fh-UAfqCM/edit,Google Drive: Sign-in,0,0,1,Success
1hL8WE4M3TZCkPs5RfhxA4BOGR6m_oIV_,iKnow Informatics SNow SPM,https://sites.google.com/d/1hL8WE4M3TZCkPs5RfhxA4BOGR6m_oIV_/edit,https://sites.google.com/d/1hL8WE4M3TZCkPs5RfhxA4BOGR6m_oIV_/edit,Google Drive: Sign-in,0,0,1,Success
