"SiteId","SiteName","SiteUrl","PageCount","MaxDepth","ErrorPages","EmbedCount","PagesWithEmbeds","ExternalDomainCount","PermissionRows","PublicPermissionRows","DomainPermissionRows","GroupPermissionRows","UserPermissionRows","ExternalPrincipalRows","StructurePoints","EmbedPoints","SecurityPoints","TotalScore","Rating","Recommendation"
"1JEnHIzt7fse2c_-nK51rXW4In4nB_U-W","Project","https://sites.google.com/d/1JEnHIzt7fse2c_-nK51rXW4In4nB_U-W/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1CRW6zH9C31o7lF11kLo-bnXg5CvV9cok","CHANEL MARKETING STATUS REPORT","https://sites.google.com/d/1CRW6zH9C31o7lF11kLo-bnXg5CvV9cok/edit","1","0","0","1","1","4","3","0","0","0","3","0","1","11","0","12","Low","Direct migration candidate"
"1w9EAyjqAPYG8pr9aiANYWOONN_YMDQz8","Untitled site","https://sites.google.com/d/1w9EAyjqAPYG8pr9aiANYWOONN_YMDQz8/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1c4ezggTZ7AQm43JMJ4tgOGPBG3iV4VE2","Untitled site","https://sites.google.com/d/1c4ezggTZ7AQm43JMJ4tgOGPBG3iV4VE2/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"15XCJl_eC_Mm6h4YTamLtKoLucLv4V4y7","Example","https://sites.google.com/d/15XCJl_eC_Mm6h4YTamLtKoLucLv4V4y7/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1vdVjjPqnJ0nAh5XBBQU55RH9K6uNYLBX","Event1","https://sites.google.com/d/1vdVjjPqnJ0nAh5XBBQU55RH9K6uNYLBX/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"14W_Dqb1yTC_1zAns31reT7V-3pcbFV-m","Untitled site","https://sites.google.com/d/14W_Dqb1yTC_1zAns31reT7V-3pcbFV-m/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1nSSyHX7o8X_D7xjhBmLt5FNdP1bWd9Ha","Untitled site","https://sites.google.com/d/1nSSyHX7o8X_D7xjhBmLt5FNdP1bWd9Ha/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1txW1QlAongQJpysZHyz-aD8n7HWXjoQP","Untitled site","https://sites.google.com/d/1txW1QlAongQJpysZHyz-aD8n7HWXjoQP/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1ZNK2NOq2xAa7M9oAHDHhaq_jUSq4Mk2L","Domain-Wide Delegation Access","https://sites.google.com/d/1ZNK2NOq2xAa7M9oAHDHhaq_jUSq4Mk2L/edit","1","0","0","1","1","4","2","0","2","0","2","2","1","11","6","18","Low","Direct migration candidate"
"1cfrPZaatAAGDgGtVsOFwHZnn9hpm_K6N","Untitled site","https://sites.google.com/d/1cfrPZaatAAGDgGtVsOFwHZnn9hpm_K6N/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1253HeW7L6f7hhwYOOwU_OqpWAmgkcT0I","Untitled site","https://sites.google.com/d/1253HeW7L6f7hhwYOOwU_OqpWAmgkcT0I/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1fHES-LMlGFlhr_An1AyhZTWNWHVZRxaF","Untitled site","https://sites.google.com/d/1fHES-LMlGFlhr_An1AyhZTWNWHVZRxaF/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"12Wb2FhGJe8x-SwEdzkaXatydtO4lGBBT","Untitled site","https://sites.google.com/d/12Wb2FhGJe8x-SwEdzkaXatydtO4lGBBT/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1PP2_01qIAscuHGwZkG9YOIY8cr0KTEPa","Untitled site","https://sites.google.com/d/1PP2_01qIAscuHGwZkG9YOIY8cr0KTEPa/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1INZof1MHbyaVkjpT2AbMX2-hu_HbQmeu","Untitled site","https://sites.google.com/d/1INZof1MHbyaVkjpT2AbMX2-hu_HbQmeu/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1-05PIEpwNoBBvv66E2lsjti6iMhY1nyR","Copy of Copy of Collaboration Suite","https://sites.google.com/d/1-05PIEpwNoBBvv66E2lsjti6iMhY1nyR/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1mbZoT_2ytNyvhZkzTyzfuiWMXfg8nHRM","Untitled site","https://sites.google.com/d/1mbZoT_2ytNyvhZkzTyzfuiWMXfg8nHRM/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"13VY8oBWqSvNxq2ISTqjh-SuaJ5LIRnLJ","Untitled site","https://sites.google.com/d/13VY8oBWqSvNxq2ISTqjh-SuaJ5LIRnLJ/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1IwO2lYTbQ139ubxKlENHnlwriaV_VTd-","Paco Test Site","https://sites.google.com/d/1IwO2lYTbQ139ubxKlENHnlwriaV_VTd-/edit","1","0","0","1","1","4","3","0","1","0","2","0","1","11","1","13","Low","Direct migration candidate"
